title,content,images,description,video link,specification_heading,specification_key,specification_value,Url
,Manual drop-in-place safety bars,https://www.ricelake.com/media/5gkplohq/_portals_0_products_6b5757f2ad8f44f886778aa5d2a3c3db-orig.png?mode=max&width=500&rnd=132494931393570000,"The RoughDeck QC-X base is composed of solid, stainless steel vertical plates—providing superior protection against bacteria and mold growth. The rugged design incorporates 304 stainless steel construction and four welded-seal load cells with PTFE cable for steam cleaning and washdown areas.",,,Scale Weldment:,"AISI304L, glass bead blasted for even appearance",
,"Four stainless steel, hermetically sealed, IP69K shear beam load cells with 30 ft cables",https://www.ricelake.com/media/wu3ipbzo/_portals_0_products_62f14f28e44f4ceaa54485e3bdcee6d8-orig.png?mode=max&width=500&rnd=132494931822700000,"When protection matters most, Rice Lake’s QC-X is the ideal solution for strict sanitary washdown environments.",,,Junction Box:,"TuffSeal® JB4SS stainless steel, NEMA Type 4X junction box with signal trim card",
,20 ft of SURVIVOR® EL147HE hostile environment cable for connecting junction box to indicator,https://www.ricelake.com/media/msujnv1b/_portals_0_products_b2d7b2c2b4404ee9922d207588d0d08d-orig.jpg?mode=max&width=500&rnd=132494931943570000,Extreme Resistance,,,Welding:,Continuous,
,Remote junction box can be mounted up to 15 ft away,https://www.ricelake.com/media/g0ulxgbk/_portals_0_products_72a8460de6e845c8a123e0b9c2e81811-orig.jpg?mode=max&width=500&rnd=132494932064230000,"The scale base is built from solid, stainless steel plates. The absence of tubes or channels means peace of mind when cleaning the scale. Continuous welds on the solid base plates follow strict sanitary design principles.",,,Threaded Eyebolt:,Two 1/2-20 NF threaded eyebolt holes for lifting scale into pit frame,
,1/4 in top plate,https://www.ricelake.com/media/2m0n41fl/_portals_0_products_5925f9d5daa2475bb58b02d39c006ea0-orig.jpg?mode=max&width=500&rnd=132494932185870000,Extreme Access,,,Warranty (limited):,Weldment: Five-year Load cells: Two-year All other components: One-year,
,Four adjustable stainless steel SUREFOOT™ support feet,https://www.ricelake.com/media/ofgnkclv/_portals_0_products_c5d9b94bc4da488abbb5315244f1f861-orig.jpg?mode=max&width=500&rnd=132494932320530000,"The top plate opens 75 degrees, allowing the entire scale interior to be washed and inspected.",,,Approvals:,cFMus NSF,
,Top plate opens 75 degrees,,Extreme Strength,,,,,
,Tool-less top plate lock downs,,"An allover 304 stainless steel construction provides rugged strength in the toughest food, pharmaceutical or chemical environments. A choice of a smooth top plate deck or a diamond treadplate deck (for extra traction) allows further application accommodation.",,RoughDeck QC-X Dimensions/Ramp Angle of Incline,,,
,Top plate available with a smooth deck or diamond treadplate,,,,,,,
,Two 1/2-20 NF threaded eyebolt holes for lifting scale into pit frame,,,,,,,
RoughDeck® QC-XP Quick Clean Extreme Portable Solid Base Plate Floor Scale,"Designed with forklift pockets, allowing the scale to be portable",https://www.ricelake.com/media/nr5dziux/1_web_us_qc-xp_hero_closed.jpg?mode=max&width=500&rnd=133657232604370000,Portable Washdown Floor Scale,,RoughDeck QC-XP Specifications,End Load Capacity:,"100% full scale at 5,000 lb 80% full scale at 10,000 lb",https://www.ricelake.com/products/roughdeck-qc-xp-quick-clean-extreme-portable-solid-base-plate-floor-scale/
,"Rugged washdown design, rigid 304 stainless steel frame constructed with continuous welds",https://www.ricelake.com/media/u0sbzij3/1_web_us_qc-xp_hero_front.jpg?mode=max&width=500&rnd=133657232724070000,"The RoughDeck QC-XP is a portable, quick-clean, washdown, stainless steel floor scale with a solid plate base and forklift channels for portability. This floor scale provides easy cleaning in environments requiring strict sanitation.",,,Cable Length:,20 ft (6.1 m) for connecting junction box to indicator,
,Meets HACCP requirements,https://www.ricelake.com/media/pm1pxpyp/1_web_us_qc-xp_heros.jpg?mode=max&width=500&rnd=133657232802330000,"Because the floor scale is constructed of solid 304 stainless steel plates with continuous welds instead of steel tubes or channels, it provides superior protection against bacterial growth. The top plate opens 75 degrees, ensuring the entire scale interior can be washed and inspected during sanitation procedures.",,,Scale Weldment:,"AISI304L, glass bead blasted for even appearance",
,Manual drop-in-place safety bars,,,,,Junction Box:,"TuffSeal® JB4SS stainless steel, NEMA Type 4X junction box with signal trim card",
,"Four stainless steel, hermetically sealed, IP69K shear beam load cells with 30 ft cables",,,,,Welding:,Continuous,
,20 ft of SURVIVOR® EL147HE hostile environment cable for connecting junction box to indicator,,,,,Threaded Eyebolt:,Two 1/2-20 NF threaded eyebolt holes for lifting scale into pit frame,
,Internally mounted junction box can be mounted up to 15 ft away,,,,,Warranty (limited):,Weldment: Five-year Load cells: Two-year All other components: One-year,
,1/4 in top plate,,,,,Approvals:,cFMus NSF,
,Four adjustable stainless steel SUREFOOT™ support feet,,,,,,,
,Top plate opens 75 degrees,,,,RoughDeck QC-XP Upright/Underdeck View,,,
,Tool-less top plate lock downs,,,,,,,
,Top plate available with a smooth deck or diamond treadplate,,,,,,,
,Two 1/2-20 NF threaded eyebolt holes for lifting scale into pit frame,,,,,,,
RoughDeck® QC Quick Clean Floor Scale,Rugged washdown design,https://www.ricelake.com/media/oybpeaea/rl-roughdeck-qc-quick-clean-floor-scale.png?mode=max&width=500&rnd=133283896686900000,A Floor Scale for Demanding Washdown Environments,,RoughDeck QC Floor Scale Specifications,End Load Capacity,": 100% full scale at 2,000 lb and 5,000 lb 80% full scale at 10,000 lb",https://www.ricelake.com/products/roughdeck-qc-quick-clean-floor-scale/
,"Smooth, 304 stainless steel top deck",https://www.ricelake.com/media/iaqldsbd/1_us_qc_floorscaleramp_option.jpg?mode=max&width=500&rnd=132629944326370000,"The RoughDeck QC is a hostile environment, stainless steel floor scale customized for food, chemical and other demanding washdown applications. The RoughDeck QC’s exclusive gas-shock design provides easy lifting and soft closing of the 3/16 inch top plate. Also included is a manual drop-in-place support bar for use during extended underdeck cleaning.",,,Cable Length:,20 ft (6.1 m) for connecting junction box to indicator,
,Rigid 304 stainless steel tube frame,https://www.ricelake.com/media/c1rhgjop/1_us_roughdeckqc_application.jpg?mode=max&width=500&rnd=133125825781830000,"All of our floor scales, unless specified otherwise, are built with lifting holes to assist our dealers during installation, or to later service the scales. The lifting holes are not the same size on all of our scales and in the PDF on the Resources tab, you will find a chart that lists the standard size and quantity of eyebolts needed for our scales.",,,Scale Weldment:,"AISI304L, glass bead blasted for even appearance",
,Meets HACCP requirements,,,,,Junction Box:,"TuffSeal® JB4SS stainless steel, NEMA Type 4X junction box with signal trim card",
,Manual drop-in-place safety bar,,,,,Welding:,"Stitch, consult if continuous is required",
,"Four stainless steel, hermetically sealed, IP69K shear beam load cells",,,,,Threaded Eyebolt Hole:,1/2-20 NF located in center of deck for easy lifting,
,20 ft of SURVIVOR® EL147HE hostile environment load cell cable,,,,,Warranty (limited):,Weldment: Five-year Load cells: Two-year All other components: One-year,
,Remote junction box can be mounted up to 10 ft away from the scale,,,,,Approvals:,"NTEP CC 92-001, Class III 5,000 d",
,3/16 in thick smooth top plate,,,,,,,
,4 adjustable stainless steel SUREFOOT™ support feet,,,,RoughDeck QC Floor Scale Dimensions,,,
,,,,,RoughDeck QC Ramps Angle of Incline,,,
RoughDeck® SD Sanitary Deck Floor Scale,Rugged washdown design,https://www.ricelake.com/media/ainkpdqs/_portals_0_products_a7c1af734bfe4b62928084d4dfd53f22-orig.png?mode=max&width=500&rnd=132494970999070000,Sanitary Floor Scale,,RoughDeck SD Floor Scale Specifications,End Load Capacity:,"100% full scale at 2,000 lb and 5,000 lb 80% full scale at 10,000 lb",https://www.ricelake.com/products/roughdeck-sd-sanitary-deck-floor-scale/
,304 stainless steel construction,,"The RoughDeck SD sanitary floor scale offers a removable polyethylene deck for simplified sanitization procedures. It also has top-performing RoughDeck features, including all stainless steel channel frames, protected load cells and adjustable SUREFOOT™ support feet. Side brackets assure deck stability during washdown. A rigid, 304 stainless steel tube frame helps protect load cells on all sides, and a remote junction box can be mounted up to 10 feet away from the scale for worry-free washdown routines.",,,Cable Length:,20 ft (6.1 m) for connecting junction box to indicator,
,Rigid stainless steel tube frame,,,,,Scale Weldment:,"AISI304L, glass bead blasted for even appearance",
,"Four stainless steel, welded sealed, shear beam load cells",,,,,Junction Box:,"TuffSeal® JB4SS stainless steel, NEMA Type 4X junction box with signal trim card",
,Load cells protected on all four sides,,,,,Welding:,Continuous,
,20 ft (6 m) of SURVIVOR® EL147HE hostile environment load cell cable,,,,,Warranty (limited):,Weldment: Five-year Load cells: Two-year All other components: One-year,
,Remote junction box can be located up to 10 ft away from scale,,,,,Approvals:,"NTEP CC 92-001, Class III 5,000 d",
,Four adjustable stainless steel SUREFOOT™ support feet,,,,,,,
,Removable polyethylene deck (deck weight: 80 lb (36.6 kg) on 4 × 4 ft size),,,,RoughDeck SD Floor Scale Dimensions,,,
,Side brackets to hold deck during washdown,,,,,,,
RoughDeck® PW-1 Mild Steel Pallet Floor Scale,Low-profile design,https://www.ricelake.com/media/fl0mvtvb/_portals_0_products_4656adce89de40c5b23fc39ef74a40ba-orig.png?mode=max&width=500&rnd=132494980193500000,Easy to Use in Tough Material Handling Environments,,RoughDeck PW-1 Mild Steel Specifications,End Load Capacity:,"80% full scale at 2,500 lb 100% full scale at 5,000 lb",https://www.ricelake.com/products/roughdeck-pw-1-mild-steel-pallet-floor-scale/
,20 ft SURVIVOR® EL147HE hostile environment load cell cable,,"Rice Lake’s RoughDeck PW-1 mild steel pallet scale is an economical alternative to a floor scale in manufacturing and warehouse environments. The u-shape of the pallet scale is designed to decrease cycle time when weighing pallets, skids and totes by eliminating the need to remove the pallet jack from a traditional floor scale. The PW-1 mild steel pallet scale comes in a variety of sizes and capacities and has an optional wheel kit for easy portability.",,,Cable Length:,20 ft (6.1 m) for connecting junction box to indicator,
,Top-access junction box,,"A low-profile design ensures a wider variety of pallets, skids and totes can be weighed on the scale. No ramps or pits make for a fast and simple installation, and a top-access junction box provides easy service and troubleshooting access.",,,Junction Box:,"TuffSeal® JB4SS stainless steel, NEMA Type 4X junction box with signal trim card",
,Four adjustable stainless steel SUREFOOT™ support feet,,,,,Welding:,"Stitch, consult factory if continuous is required",
,"Four alloy steel, shear beam load cells",,,,,Warranty (limited):,Load cells: Two-year All other components: One-year,
,,,,,,,,
,,,,,RoughDeck PW-1 Mild Steel Dimensions,,,
RoughDeck® PW-1 Stainless Steel Pallet Floor Scale,Low-profile design,https://www.ricelake.com/media/vcnejiky/_portals_0_products_4aecb7d5e0f04bd38e962f64b0a43c7e-orig.png?mode=max&width=500&rnd=132494991634870000,Easy to Use Pallet Scale for Busy Material Handling Environments,,RoughDeck PW-1 Stainless Steel Specifications,End Load Capacity:,"80% full scale at 2,500 lb 100% full scale at 5,000 lb",https://www.ricelake.com/products/roughdeck-pw-1-stainless-steel-pallet-floor-scale/
,20 ft SURVIVOR® EL147HE hostile environment load cell cable,,"The RoughDeck PW-1 stainless steel pallet scale has a u-shaped design that can decrease cycle time when weighing pallets, skids and totes because pallet jacks don't need to be completely removed, unlike weighing with traditional floor scales. Available in a variety of sizes and capacities, the PW-1 stainless steel pallet scale is an ideal alternative to standard floor scales for busy material handling departments.",,,Cable Length:,20 ft (6.1 m) for connecting junction box to indicator,
,Top-access junction box,,"The PW-1 pallet scale has a low profile and doesn't require ramps or pits, optimizing warehouse space and simplifying installation. The op-access junction box provides easy access for scale maintenance.",,,Scale Weldment:,"AISI304L, glass bead blasted for even appearance",
,"Four adjustable, stainless steel SUREFOOT™ support feet",,,,,Junction Box:,"TuffSeal® JB4SS stainless steel, NEMA Type 4X junction box with signal trim card",
,"Four stainless steel, IP66 shear beam load cells",,,,,Welding:,"Stitch, consult factory if continuous is required",
,,,,,,Warranty (limited):,Load cells: Two-year All other components: One-year,
,,,,,,,,
,,,,,RoughDeck PW-1 Stainless Steel Dimensions,,,
RoughDeck® LP Low Profile Floor Scale,Painted mild steel ,https://www.ricelake.com/media/y1cdpszo/rl-roughdeck-lp-low-profile-floor-scale.png?mode=max&width=500&rnd=133283900694230000,Low Profile Floor Scale,,RoughDeck LP Floor Scale Specifications,End Load Capacity:,"100% full scale at 2,000 lb",https://www.ricelake.com/products/roughdeck-lp-low-profile-floor-scale/
,Diamond tread scale top plate and ramps,,"RoughDeck LP is a low-profile scale just 3 inches tall with a diamond treadplate to provide greater traction. A rigid structural steel frame provides durability for weighing. The elongated platform is made to fit in spaces that may normally be a challenge. Two built-in ramps provide easy access to the platform while 2-inch live side rails ensure safe, accurate weighing anywhere on the scale.",,,Cable Length:,20 ft (6.1 m) for connecting junction box to indicator,
,Live side rails,,,,,Junction Box:,EL204 signal trim,
,Self-centering ball and load receiver plate load introduction,,,,,Welding:,"Stitch, consult factory if continuous is required",
,Top-access junction box,,,,,Threaded Eyebolt:,Two holes (1/2-20 NF),
,"Four alloy steel, environmentally sealed, single-ended load cells",,,,,Weighing Surface Dimensions:,(L × W × H) 72.00 × 36.00 × 1.81 in,
,,,,,,Warranty:,Two-year limited,
,,,,,,,,
,,,,,RoughDeck LP Floor Scale Dimensions,,,
RoughDeck BDP Mild Steel - Stationary Model,Live siderails,https://www.ricelake.com/media/fczpiovt/_portals_0_products_cb080a11c800476b8e16e62bbbd6247c-orig.png?mode=max&width=500&rnd=132494329702570000,Mild Steel Barrel and Drum Pallet Scale,,RoughDeck BDP Floor Scale Specifications,End Load Capacity:,"1,000 lb: 100% full scale 2,500 lb: 80% full scale",https://www.ricelake.com/products/roughdeck-bdp-mild-steel-stationary-model/
,Top-access foot adjustment holes,,"When flexibility is required for weighing large items such as barrels and drum pallets, the RoughDeck BDP floor scales' low-profile design and optional hinged access ramps enable effortless loading and unloading. Live side rails ensure items exceeding the standard scale dimensions are weighed accurately. Design features include treaded mild steel top plates and environmentally sealed or welded-seal load cells catering to a vast range of application conditions.",,,Cable Length:,10 ft (3 m),
,Four adjustable stainless steel SUREFOOT™ support feet,,"All Rice Lake floor scales, unless specified otherwise, are built with lifting holes to assist our dealers during installation or at later service the scales.",,,Junction Box:,"TuffSeal® JB4SS stainless steel, NEMA Type 4X junction box with signal trim card",
,Diamond tread top plate,,,,,Welding:,Stitch,
,Alloy steel load cells,,,,,Threaded Eyebolt:,Hole (1/2-13 NC) located in center of deck for easy lifting,
,,,,,,Warranty (limited):,Weldment: Five-year Load cells: Two-year All other components: One-year,
,,,,,,Approvals:,"NTEP 03-060, Class III 2,500 d Measurement Canada AM-5578 (500 kg) Class III 2,500 d (1,000 kg) Class III 2,000 d",
,,,,,,,,
,,,,,RoughDeck BDP Floor Scale Dimensions,,,
RoughDeck BDP Stainless Steel - Stationary Model,Live siderails,https://www.ricelake.com/media/5tfpdqyp/_portals_0_products_dad42c3ad40f45e68d024cd20736e1b4-orig.png?mode=max&width=500&rnd=132495008187230000,Stainless Steel Barrel and Drum Pallet Scale,,RoughDeck BDP Stainless Steel Specifications,End Load Capacity:,"1,000 lb: 100% full scale 2,500 lb: 80% full scale",https://www.ricelake.com/products/roughdeck-bdp-stainless-steel-stationary-model/
,Top-access foot adjustment holes,,The RoughDeck BDP stainless steel floor scale provides flexibility to weigh larger items such as barrels and drum pallets. It has a low profile and optional access ramps to ensure easy loading and unloading. The live rails capture accurate weights for items exceeding the standard scale platform dimensions. A smooth stainless steel top plate is paired with either environmentally sealed or welded-seal load cells to meet the requirements of a range of operating conditions.,,,Cable Length:,10 ft (3 m),
,Four adjustable stainless steel SUREFOOT™ support feet,,,,,Scale Weldment:,"AISI304L, glass bead blasted for even appearance",
,Smooth top plate,,,,,Junction Box:,"TuffSeal® JB4SS stainless steel, NEMA Type 4X junction box with signal trim card",
,"Stainless steel, IP66 load cells",,,,,Welding:,"Stitch, consult factory if continuous is required",
,,,,,,Threaded Eyebolt:,Holes are 1/2-13 threaded for lifting scale,
,,,,,,Warranty (limited):,Weldment: Five-year Load cells: Two-year All other components: One-year,
,,,,,,Approvals:,"NTEP CC 03-060, Class III 2,500 d Measurement Canada AM-5578 (500 kg) Class III 2,500 d (1,000 kg) Class III 2,000 d",
,,,,,,,,
,,,,,RoughDeck BDP Floor Scale Dimensions,,,
RoughDeck BDP Mild Steel - Portable Model,Live side rails,https://www.ricelake.com/media/nbqnae0g/rl-roughdeck-bdp-mild-steel-portable-model.png?mode=max&width=500&rnd=133283903175700000,Portable Barrel and Drum Pallet Scale,,RoughDeck BDP Mild Steel - Portable Model Specifications,End Load Capacity:,"1,000 lb: 100% full scale 2,500 lb: 80% full scale",https://www.ricelake.com/products/roughdeck-bdp-mild-steel-portable-model/
,Top-access foot adjustment holes,https://www.ricelake.com/media/tyqnrp1e/_portals_0_products_736fac007ad941bc8443d57307e0754e-orig.png?mode=max&width=500&rnd=132495088440430000,"Take the stationary RoughDeck BDP floor scale where you need it with the optional Portability Kit.  Perfect for material handling fieldwork applications, the compact, low-profile frame showcases a lifting mechanism that, when engaged, allows the operator to move the scale in any direction. The frame also includes brackets for mounting optional access ramps, providing maneuverable approaches for any material.",,,Cable Length:,10 ft (3 m),
,Holes are 1/2-13 threaded for lifting scale,,"Four NSF-approved caster-designed wheels enable the operator to move the scale easily and effortlessly. Use the indicator stand with any of Rice Lake's indicators, and you will have a complete weighing system at your command, anywhere you can take it.",,,Junction Box:,"TuffSeal® JB4SS stainless steel, NEMA Type 4X junction box with signal trim card",
,Four adjustable stainless steel SUREFOOT™ support feet,,,,,Welding:,Stitch,
,Treaded top plate,,,,,Threaded Eyebolt:,Hole (1/2-13 NC) located in center of deck for easy lifting,
,Alloy steel load cells,,,,,Warranty (limited):,Weldment: Five-year Load cells: Two-year All other components: One-year,
,,,,,,Approvals:,"NTEP CC 03-060, Class III 2,500 d Measurement Canada AM-5578 (500 kg) Class III 2,500 d (1,000 kg) Class III 2,000 d",
,,,,,,,,
,,,,,RoughDeck BDP Mild Steel Portability Kit Dimensions,,,
RoughDeck BDP Stainless Steel - Portable Model,Live side rails,https://www.ricelake.com/media/ndkg5rk2/_portals_0_products_1a5df15272f144b7a19eac28dffba778-orig.jpg?mode=max&width=500&rnd=132495087870230000,Portable Stainless Steel Barrel and Drum Pallet Scale,,RoughDeck Stainless Steel Portability Kit Specifications,End Load Capacity:,"1,000 lb: 100% full scale 2,500 lb: 80% full scale",https://www.ricelake.com/products/roughdeck-bdp-stainless-steel-portable-model/
,Top-access foot adjustment holes,,"The portability kit for the RoughDeck BDP stainless steel floor scale allows operators to take the scale anywhere it’s needed. The compact, low-profile frame includes a lifting mechanism so the scale can be easily moved, and mounting brackets for optional ramps ensure quick loading for any material.",,,Cable Length:,10 ft (3 m),
,Four adjustable stainless steel SUREFOOT™ support feet,,"Four NSF-approved caster-designed wheels enable the operator to move the scale effortlessly throughout production. Use the indicator stand to mount any of Rice Lake's indicators, and you will have a complete weighing system at your command.",,,Junction Box:,"TuffSeal® JB4SS stainless steel, NEMA Type 4X junction box with signal trim card",
,Smooth top plate,,,,,Welding:,"Stitch, consult factory if continuous is required",
,"IP66 stainless steel, welded-seal load cells",,,,,Threaded Eyebolt:,Holes are 1/2-13 threaded for lifting scale,
,,,,,,Warranty (limited):,Weldment: Three-year Load cells: Two-year All other components: One-year,
,,,,,,Approvals:,"NTEP CC 03-060, Class III 2,500 d Measurement Canada AM-5578 (500 kg) Class III 2,500 d (1,000 kg) Class III 2,000 d",
,,,,,,,,
,,,,,RoughDeck BDP Stainless Steel Portability Kit Dimensions,,,
Altralite™ Portable Low-Profile Anodized Aluminum Floor Scale,Low-profile design,https://www.ricelake.com/media/jmlhpevv/_portals_0_products_4ba62a1cc1f54b689f4ad1064d082f2f-orig.png?mode=max&width=500&rnd=132491551183770000,"Portable, Low-profile Floor Scale",,Altralite Specifications,End Load Capacity:,100% full scale,https://www.ricelake.com/products/altralite-portable-low-profile-anodized-aluminum-floor-scale/
,"Black anodized aluminum construction to improve durability, resistance to corrosion and scratching",,"The Altralite portable low-profile aluminum floor scale has a low-profile design with a diamond-treadplate safety deck. Its lightweight design makes the Altralite floor scale easy to move, while the black anodized aluminum construction ensures durability and resistance to corrosion and scratching.",,,Cable Length:,20 ft (6.1 m) for connecting junction box to indicator,
,Diamond treadplate safety deck,,,,,Junction Box:,"TuffSeal® JB4SS stainless steel, NEMA Type 4X junction box with signal trim card",
,Four high-alloy tool steel shear beam load cells,,,,,Welding:,"Stitch, consult factory if continuous is required",
,Side-access junction box,,,,,Warranty (limited):,Load cells: Two-year All other components: One-year limited,
,20 ft SURVIVOR® EL147HE hostile environment load cell cable,,,,,,,
,Four adjustable stainless steel SUREFOOT™ support feet,,,,,,,
RoughDeck® FXB Flexure Base Floor Scale,"
Unique flexure design filters motion and shock loading
",https://www.ricelake.com/media/r2jjyiey/_portals_0_products_847d704fc2e1481fa11a1981ac96de94-orig.png?mode=max&width=500&rnd=132491737665430000,Durable Flexure Base Platform Scale,,RoughDeck FXB Floor Scale Specifications,End Loading Capacity:,100% of scale capacity,https://www.ricelake.com/products/roughdeck-fxb-flexure-base-floor-scale/
,"
Spring steel flexures
",,"The RoughDeck FXB flexure lever floor scale’s unique flexure design filters motion and shock loading. The s-beam load cell is critical to the flexure functionality. Available in a variety of sizes and weight capacities, the RoughDeck FXB flexure lever floor scale is customizable to a vast array of applications, and its rugged, all-steel design withstands damage.",,,Safe Overload Capacity:,150% of scale capacity,
,"
Rugged all-steel painted construction smooth deck
",,,,,,,
,"
One Rice Lake Weighing Systems brand RL20000 series nickel-plated s-beam load cell and plated wire rope
",,,,,,,
,"
NTEP Certified models in sizes 24 × 24 in (500 lb) through 72 × 96 in up to 10,000 lb capacity
",,,,,,,
,"
Unique flexure design filters motion and shock loading
",,,,,,,
,"
All 304 stainless steel construction, smooth deck
",,,,,,,
,"
Stainless flexures, hardware and load cell
",,,,,,,
,"
NTEP Certified models in sizes 24 × 24 in (500 lb) through 72 × 96 in up to 10,000 lb capacity
",,,,,,,
DeckHand™ Portable Floor Scale,"Mild or stainless steel wheeled frame, base and mast",https://www.ricelake.com/media/dxukpzib/_portals_0_products_774dde775be04db9be5d981c6a29787e-orig.png?mode=max&width=500&rnd=132491714665800000,Easy-to-move Portable Floor Scale,,DeckHand Portable Scale Specifications,End Load Capacity:,100% end loading,https://www.ricelake.com/products/deckhand-portable-floor-scale/
,"Diamond tread top plate, mild or stainless steel",https://www.ricelake.com/media/1ubjvndc/_portals_0_products_253d323cd4a840c0907179ad571edc50-orig.png?mode=max&width=500&rnd=132491714447700000,"The DeckHand portable scale is a mobile floor scale with an indicator platform. Partnered with one of Rice Lake’s battery-operated indicators, such as the 482 Plus Legend® series indicator, you will have a clearly visible weight anywhere the scale is located. If product is loaded off-center, all four corners of the platform weigh perfectly, so weight is measured accurately from anywhere on the platform. Take this scale to any work area for the immediate weight of large stationary items.",,,Cable length:,9 ft 10 in (3 m),
,Large rubber wheels (not rated for IS) simplify movement on uneven floors,,"The DeckHand’s large rubber wheels simplify movement on uneven floors. The two wheels hover when stationary, so the weighing platform remains stable despite variances in floor contour. Environmentally sealed aluminum load cells help keep things lighter for easier mobility.",,,mV/V Output:,2 mV/V,
,Two IP67 aluminum load cells,,,,,Weighing Platter:,4.5 in height when in weigh mode,
,"Standard indicator mount with integral handles for the 380/380X Synergy, 480/480 Plus, 482/482 Plus, 880/880 Plus and 680 Synergy",,,,,Column Height:,59 in,
,,,,,,Warranty:,Weldment: Five-year Load cells: Two-year All other components: One-year,
,,,,,,Approvals:,"NTEP Certified, CC 98-004, Class III, 2,500 d Measurement Canada approved, AM-5218",
,,,,,,,,
,,,,,DeckHand Portable Scale Dimensions,,,
,,,,,Mounting Bracket for 882IS/882IS Plus,,,
RL1200 Mechanical Portable Beam Scale,NTEP Certified,https://www.ricelake.com/media/4loft020/_portals_0_products_fe8bef2c8fb64ba78b0e9ec5308ee0c6-orig.png?mode=max&width=500&rnd=132495196063600000,"Classic Design, Proven Performance",,RL1200 Portable Beam Scale Specifications,Construction:,"Cast-iron platform, base and levers",https://www.ricelake.com/products/rl1200-mechanical-portable-beam-scale/
,Cast iron construction,,"Portable beam scales are well known for time-tested reliability and performance, and Rice Lake's RL1200 Series is designed to complement these demands. For agriculture, warehousing, or general industrial weighing, these cost-effective, cast-iron designs deliver the ultimate in portability and durability.",,,Poise:,Steel locking screw provided,
,"1,000 lb capacity model available",,"Well suited to intrinsically safe applications or areas without access to electricity, this all-mechanical design is available in either metric or avoirdupois (lb). The avoirdupois model offers a capacity of 1,000 pounds and is also NTEP Certified, making it suitable for a wide range of commercial and Legal for Trade applications.",,,Platform Dimensions:,(L × W) 24 × 18 in,
,Locking screw knob on poise,,,,,Capacity:,"1,000 lb",
,"Slotted cast iron counterpoise weights, marked to scale capacity",,,,,Approvals:,"NTEP Certified 93-004 Class III 2,000 d",
,Heavy-duty wheels for portability (wheels are not rated for IS environment),,,,,Warranty:,One-year limited,
,Weights and hanger,,,,,,,
,Nickel plated steel beam with engraved brass insert,,,,RL1200 Portable Beam Scale Dimensions,,,
RL1200 EM Electromechanical Portable Beam Scale,NTEP Certified,https://www.ricelake.com/media/22egt3kw/rl-rl1200-em-electromechanical-portable-beam-scale.png?mode=max&width=500&rnd=133283907743400000,"Classic Design, Proven Performance",,RL1200 EM Specifications,Construction:,"Cast-iron platform, base and levers",https://www.ricelake.com/products/rl1200-em-electromechanical-portable-beam-scale/
,"1,000 lb capacity",,"Portable beam scales are well known for time-tested reliability and performance, and Rice Lake's RL1200 Series is designed to complement these demands. For agriculture, warehousing, or general industrial weighing, these cost-effective, cast-iron designs deliver the ultimate in portability and durability.",,,Platform Dimensions:,(L × W) 24 × 18 in,
,Heavy-duty wheels and handle for portability,,"NTEP Certified and suitable for Legal for Trade applications, the RL1200 EM offers the added convenience of the 380 Synergy digital weight display. The battery-powered indicator lets users easily read weight values, zero, tare, toggle between units and transmit weight to an optional printer",,,Capacity:,"1,000 lb",
,LCD display,,,,,Approvals:,"NTEP 93-004 Class III 2,000d",
,Alkaline battery powered,,,,,Power:,Batteries: 4 alkaline C-cell (not included) Optional: 115/230 VAC to 12 VDC adapter,
,Push-button and keyed tare,,,,380 Synergy Series Specifications,Battery Life:,"100 hours with 1 × 350 ohm load cell, no backlight 45 hours with 4 × 350 ohm load cells, low backlight 20 hours with 8 × 350 ohm load cells, low backlight",
,Two communication ports,,,,,Communication Ports:,One RS-232 (three-wire) One USB 2.0,
,Five tactile buttons,,,,,Annunciators:,"g, lb, t, tn, kg, oz, battery level, PT, LT, gross, zero, unstable, net",
,Configurable print formats,,,,,Display:,"Six 1 in (25 mm) tall, LCD digits",
,,,,,,Keys/Buttons:,5 tactile buttons,
,,,,,,Rating/Material:,"IP66, 304 Stainless steel",
,,,,,,Approvals:,"NTEP 21-051, Class III/IIIL, 10,000 d Measurement Canada AM-6184 cULus CE marked",
,,,,,,,,
,,,,,,,,
,,,,,RL1200 EM Dimensions,,,
RL1200 IS Intrinsically Safe Electromechanical Portable Beam Scale,NTEP Certified,https://www.ricelake.com/media/j43lwmcw/_portals_0_products_bac7d9c903b74bb38927bd1d191cb895-orig.jpg?mode=max&width=500&rnd=132495816841530000,,,RL1200 IS Scale Specifications,Construction:,"Cast-iron platform, base and levers",https://www.ricelake.com/products/rl1200-is-intrinsically-safe-electromechanical-portable-beam-scale/
,"1,000 lb capacity",,,,,Platform Dimensions:,(L × W): 24 × 18 in,
,Conductive wheels to eliminate static buildup and discharge,,,,,Capacity:,"1,000 lb",
,Handle for ease of portability,,,,,Approvals:,"NTEP 93-004 Class III 2,000d",
,Intrinsically safe,,,,,Power:,"Input: 5.8 to 7.9 VDC, 100 to 175 mA",
,LCD display with white LED backlight,,,,882IS/882IS Indicator Specifications,Battery (optional):,60 hours with 4 × 350 ohm load cells 80 to 100 hours with 1 × 350 ohm load cell 8 to 10 hour charging time,
,Power ON/OFF; battery save mode,,,,,Annunciators:,"Center of zero, gross, net, motion, lb, kg, oz, g",
,,,,,,Display Increments:,"1, 2, 5",
